p edges 537 2844
e 1 2 1
e 1 3 1
e 1 4 1
e 1 9 1
e 1 62 3
e 2 3 1
e 2 4 159
e 2 8 1
e 2 9 70
e 2 10 3
e 2 13 5
e 2 14 3
e 2 18 2
e 2 20 20
e 2 21 8
e 2 22 5
e 2 23 4
e 2 24 1
e 2 25 27
e 2 27 2
e 2 30 2
e 2 32 1
e 2 33 1
e 2 42 2
e 2 43 4
e 2 44 3
e 2 51 5
e 2 55 2
e 2 56 1
e 2 58 1
e 2 59 1
e 2 62 1
e 2 63 1
e 2 66 2
e 2 76 2
e 2 77 1
e 2 81 1
e 2 88 1
e 2 89 1
e 2 91 1
e 2 92 1
e 2 95 1
e 2 96 1
e 2 98 1
e 2 103 3
e 2 107 7
e 2 108 3
e 2 109 5
e 2 110 3
e 2 111 1
e 2 113 1
e 2 114 1
e 2 116 1
e 2 119 1
e 2 120 1
e 2 123 1
e 2 124 1
e 2 127 2
e 2 128 1
e 2 130 1
e 2 134 1
e 2 138 1
e 2 139 1
e 2 140 1
e 2 141 1
e 2 146 1
e 2 152 1
e 2 157 2
e 2 166 2
e 2 170 1
e 2 172 1
e 2 181 1
e 2 185 3
e 2 187 1
e 2 188 3
e 2 189 1
e 2 190 3
e 2 191 1
e 2 196 1
e 2 197 6
e 2 200 1
e 2 206 2
e 2 207 2
e 2 216 1
e 2 222 2
e 2 224 1
e 2 225 1
e 2 226 1
e 2 227 2
e 2 229 2
e 2 231 1
e 2 234 2
e 2 240 3
e 2 244 2
e 2 246 2
e 2 247 6
e 2 248 4
e 2 249 2
e 2 250 2
e 2 251 2
e 2 252 4
e 2 253 2
e 2 254 3
e 2 255 2
e 2 256 2
e 2 273 1
e 2 274 1
e 2 278 1
e 2 280 2
e 2 290 1
e 2 301 1
e 2 316 2
e 2 320 1
e 2 326 2
e 2 327 2
e 2 336 1
e 2 341 1
e 2 348 1
e 2 349 1
e 2 352 1
e 2 355 1
e 2 356 1
e 2 364 2
e 2 382 2
e 2 384 1
e 2 385 1
e 2 388 1
e 2 389 1
e 2 393 1
e 2 400 1
e 2 401 1
e 2 407 1
e 2 415 1
e 2 422 1
e 2 428 1
e 2 430 1
e 2 431 1
e 2 432 3
e 2 433 1
e 2 488 1
e 2 490 1
e 2 492 1
e 2 519 1
e 3 4 1
e 3 5 2
e 3 19 1
e 3 27 2
e 3 28 2
e 3 29 2
e 3 70 1
e 4 2 12
e 4 9 64
e 4 16 2
e 4 19 2
e 4 21 3
e 4 22 1
e 4 26 1
e 4 27 1
e 4 42 2
e 4 51 4
e 4 55 2
e 4 58 1
e 4 59 1
e 4 116 1
e 4 139 1
e 4 157 2
e 4 190 2
e 4 191 1
e 4 197 6
e 4 200 1
e 4 222 2
e 4 224 1
e 4 225 1
e 4 226 1
e 4 229 2
e 4 242 2
e 4 244 3
e 4 247 5
e 4 248 5
e 4 252 4
e 4 255 2
e 4 272 1
e 4 273 1
e 4 278 1
e 4 290 1
e 4 349 1
e 4 395 2
e 4 415 1
e 4 428 1
e 5 2 2
e 5 4 2
e 5 9 1
e 5 10 2
e 5 11 4
e 5 14 4
e 5 75 1
e 5 76 1
e 5 107 1
e 5 109 1
e 6 1 1
e 6 3 2
e 6 5 2
e 7 1 2
e 8 1 1
e 8 3 2
e 8 9 1
e 8 24 1
e 8 25 4
e 8 64 3
e 8 65 2
e 8 66 3
e 9 2 2
e 9 4 5
e 9 8 2
e 9 13 4
e 9 14 4
e 9 15 4
e 9 21 4
e 9 42 2
e 9 50 2
e 9 55 2
e 9 56 1
e 9 104 18
e 9 106 2
e 9 117 2
e 9 122 1
e 9 128 1
e 9 132 4
e 9 141 1
e 9 153 3
e 9 159 1
e 9 170 1
e 9 180 1
e 9 198 2
e 9 212 5
e 9 222 2
