p edges 644 5644
e 1 2 3
e 1 3 2
e 1 4 2
e 1 5 3
e 1 11 3
e 1 19 2
e 1 21 1
e 1 23 2
e 1 37 1
e 1 38 1
e 1 118 1
e 1 272 1
e 1 331 1
e 1 416 1
e 1 418 1
e 2 2 61
e 2 3 10
e 2 4 2
e 2 5 56
e 2 7 2
e 2 8 1
e 2 9 2
e 2 11 42
e 2 19 5
e 2 23 20
e 2 24 2
e 2 26 2
e 2 37 35
e 2 38 73
e 2 39 3
e 2 40 2
e 2 42 17
e 2 43 72
e 2 45 1
e 2 47 13
e 2 51 1
e 2 53 1
e 2 54 1
e 2 55 1
e 2 61 2
e 2 62 2
e 2 65 2
e 2 67 1
e 2 68 2
e 2 69 1
e 2 75 2
e 2 76 3
e 2 78 31
e 2 89 2
e 2 91 1
e 2 93 2
e 2 95 4
e 2 97 1
e 2 104 1
e 2 107 1
e 2 109 1
e 2 110 1
e 2 111 1
e 2 112 36
e 2 113 54
e 2 118 5
e 2 122 2
e 2 124 2
e 2 130 2
e 2 132 2
e 2 133 13
e 2 146 2
e 2 151 2
e 2 152 1
e 2 153 1
e 2 156 2
e 2 167 1
e 2 170 3
e 2 175 1
e 2 176 1
e 2 178 2
e 2 183 2
e 2 184 4
e 2 185 2
e 2 187 4
e 2 188 1
e 2 192 2
e 2 193 1
e 2 196 1
e 2 201 1
e 2 202 1
e 2 206 1
e 2 207 2
e 2 216 5
e 2 217 6
e 2 219 1
e 2 222 15
e 2 230 2
e 2 231 4
e 2 235 9
e 2 239 2
e 2 240 2
e 2 245 1
e 2 246 1
e 2 248 1
e 2 257 4
e 2 258 4
e 2 270 1
e 2 273 1
e 2 281 2
e 2 282 2
e 2 283 2
e 2 284 2
e 2 285 2
e 2 286 2
e 2 287 2
e 2 288 2
e 2 291 3
e 2 296 2
e 2 301 1
e 2 302 1
e 2 304 2
e 2 305 2
e 2 306 1
e 2 312 1
e 2 315 1
e 2 316 2
e 2 322 1
e 2 328 2
e 2 329 1
e 2 331 1
e 2 332 2
e 2 335 2
e 2 340 1
e 2 345 1
e 2 353 2
e 2 356 2
e 2 363 1
e 2 371 1
e 2 376 1
e 2 379 3
e 2 380 1
e 2 382 1
e 2 388 2
e 2 393 1
e 2 395 2
e 2 396 1
e 2 399 1
e 2 406 1
e 2 407 7
e 2 411 2
e 2 412 2
e 2 418 3
e 2 419 1
e 2 421 1
e 2 422 3
e 2 423 1
e 2 424 1
e 2 425 1
e 2 426 4
e 2 427 2
e 2 429 1
e 2 430 1
e 2 431 1
e 2 432 1
e 2 433 1
e 2 434 1
e 2 435 1
e 2 436 1
e 2 437 1
e 2 438 1
e 2 439 1
e 2 441 7
e 2 442 2
e 2 443 4
e 2 445 7
e 2 447 1
e 2 452 1
e 2 459 1
e 2 464 8
e 2 466 1
e 2 472 4
e 2 474 1
e 2 480 2
e 2 481 2
e 2 486 4
e 2 496 1
e 2 498 4
e 2 501 1
e 2 502 2
e 2 503 10
e 2 504 2
e 2 510 1
e 2 511 6
e 2 513 2
e 2 514 2
e 2 517 2
e 2 518 1
e 2 519 2
e 2 520 1
e 2 522 1
e 2 523 3
e 2 524 2
e 2 525 1
e 2 528 2
e 2 529 2
e 2 530 4
e 2 531 1
e 2 532 2
e 2 533 2
e 2 534 2
e 2 544 1
e 2 548 1
e 2 549 3
e 2 550 1
e 2 561 1
e 2 563 1
e 2 567 1
