p edges 827 5793
e 1 2 1
e 1 3 3
e 1 4 1
e 1 5 1
e 1 6 1
e 1 12 1
e 1 17 2
e 1 517 1
e 2 3 5
e 2 4 52
e 2 5 1
e 2 6 58
e 2 8 4
e 2 9 1
e 2 11 1
e 2 12 52
e 2 15 86
e 2 17 136
e 2 18 1
e 2 20 2
e 2 22 1
e 2 23 1
e 2 25 1
e 2 26 1
e 2 29 17
e 2 32 6
e 2 35 36
e 2 37 7
e 2 38 5
e 2 39 2
e 2 40 4
e 2 42 8
e 2 45 6
e 2 46 163
e 2 47 2
e 2 53 3
e 2 56 1
e 2 58 3
e 2 60 2
e 2 64 1
e 2 67 2
e 2 68 1
e 2 71 1
e 2 72 2
e 2 76 1
e 2 77 5
e 2 80 1
e 2 82 3
e 2 85 9
e 2 86 1
e 2 87 6
e 2 88 5
e 2 89 2
e 2 90 2
e 2 91 1
e 2 93 1
e 2 94 2
e 2 95 4
e 2 97 2
e 2 98 4
e 2 100 3
e 2 101 2
e 2 102 1
e 2 105 2
e 2 108 1
e 2 120 1
e 2 127 1
e 2 130 2
e 2 131 2
e 2 132 4
e 2 133 6
e 2 134 1
e 2 138 2
e 2 139 2
e 2 141 1
e 2 142 1
e 2 143 1
e 2 151 2
e 2 159 4
e 2 160 3
e 2 168 1
e 2 171 2
e 2 172 2
e 2 174 1
e 2 175 2
e 2 179 1
e 2 180 1
e 2 184 2
e 2 185 1
e 2 187 1
e 2 189 3
e 2 191 3
e 2 193 2
e 2 196 1
e 2 197 1
e 2 198 1
e 2 200 3
e 2 202 1
e 2 207 2
e 2 210 1
e 2 211 1
e 2 212 2
e 2 213 2
e 2 215 2
e 2 219 1
e 2 223 1
e 2 224 1
e 2 227 1
e 2 228 1
e 2 229 1
e 2 232 1
e 2 233 1
e 2 236 2
e 2 241 1
e 2 243 2
e 2 244 1
e 2 261 1
e 2 262 1
e 2 263 4
e 2 264 4
e 2 266 1
e 2 273 1
e 2 276 2
e 2 282 4
e 2 283 2
e 2 284 4
e 2 287 1
e 2 288 3
e 2 291 2
e 2 292 4
e 2 296 5
e 2 298 2
e 2 306 2
e 2 307 2
e 2 309 1
e 2 311 3
e 2 313 2
e 2 314 2
e 2 315 2
e 2 316 4
e 2 319 2
e 2 326 1
e 2 327 1
e 2 338 1
e 2 346 2
e 2 349 1
e 2 354 3
e 2 355 4
e 2 356 3
e 2 359 1
e 2 369 2
e 2 370 3
e 2 371 3
e 2 372 3
e 2 374 2
e 2 375 3
e 2 376 2
e 2 377 2
e 2 378 2
e 2 379 2
e 2 392 6
e 2 393 5
e 2 399 1
e 2 419 1
e 2 421 1
e 2 424 1
e 2 425 2
e 2 428 1
e 2 429 2
e 2 430 1
e 2 433 1
e 2 436 1
e 2 458 2
e 2 459 1
e 2 463 2
e 2 466 1
e 2 467 1
e 2 471 5
e 2 472 2
e 2 473 2
e 2 477 2
e 2 478 2
e 2 479 1
e 2 490 1
e 2 491 1
e 2 492 2
e 2 493 1
e 2 494 1
e 2 495 1
e 2 496 1
e 2 497 1
e 2 498 1
e 2 499 2
e 2 500 2
e 2 501 2
e 2 502 1
e 2 503 1
e 2 506 2
e 2 507 1
e 2 508 1
e 2 509 1
e 2 510 1
e 2 514 1
e 2 518 1
e 2 520 1
e 2 522 1
e 2 531 2
e 2 539 1
e 2 541 1
e 2 543 1
e 2 560 2
e 2 565 1
e 2 566 1
e 2 569 1
e 2 570 1
e 2 575 1
e 2 576 1
e 2 577 1
e 2 578 1
e 2 583 3
e 2 584 1
e 2 585 1
e 2 596 1
e 2 597 2
e 2 610 1
e 2 611 2
e 2 629 2
e 2 633 1
e 2 636 4
e 2 637 2
e 2 649 1
e 2 651 1
e 2 659 2
e 2 660 2
e 2 662 1
e 2 664 2
e 2 665 1
e 2 667 1
e 2 669 1
e 2 680 1
e 2 697 1
e 2 709 1
e 2 711 1
e 2 714 1
e 2 716 1
e 2 717 1
e 2 725 2
e 2 730 1
e 2 731 3
e 2 732 1
e 2 744 2
e 2 745 1
e 2 746 1
e 2 749 3
e 2 764 1
e 2 767 1
e 2 769 1
e 2 782 2
e 2 785 1
e 2 786 1
e 2 796 2
e 2 798 1
e 2 803 1
e 2 806 4
e 2 807 2
e 2 808 2
e 2 809 2
e 2 811 2
e 2 812 1
e 2 813 1
e 2 815 2
e 2 816 2
e 2 818 2
e 2 824 1
e 2 825 1
e 2 826 1
e 3 4 5
e 3 5 1
e 3 6 5
e 3 8 1
e 3 12 5
e 3 17 1
e 3 18 3
e 3 20 4
e 3 26 1
e 3 32 1
e 3 35 3
e 3 37 1
e 3 38 1
e 3 42 3
e 3 47 2
e 3 189 1
