p edges 1061 6549
e 1 2 2
e 1 3 2
e 1 4 2
e 1 9 2
e 2 3 6
e 2 4 3
e 2 10 2
e 2 159 1
e 2 160 1
e 2 161 1
e 2 162 1
e 2 522 4
e 2 694 2
e 2 713 1
e 2 714 1
e 3 4 2
e 3 162 4
e 3 638 1
e 3 714 1
e 4 3 1
e 4 159 1
e 4 160 1
e 4 161 1
e 4 162 1
e 5 6 12
e 5 7 2
e 5 8 2
e 5 20 1
e 5 30 1
e 5 59 2
e 5 99 10
e 5 100 2
e 5 102 4
e 5 198 2
e 5 232 1
e 5 237 1
e 5 238 1
e 5 239 1
e 5 242 1
e 5 244 1
e 5 245 1
e 5 248 1
e 5 249 1
e 5 253 1
e 5 327 1
e 5 412 1
e 5 494 1
e 5 630 1
e 6 7 22
e 6 8 2
e 6 20 3
e 6 30 1
e 6 42 2
e 6 43 1
e 6 84 2
e 6 86 1
e 6 87 1
e 6 88 1
e 6 98 2
e 6 99 14
e 6 100 3
e 6 101 11
e 6 102 9
e 6 133 2
e 6 134 3
e 6 177 4
e 6 197 1
e 6 232 1
e 6 237 1
e 6 238 1
e 6 239 1
e 6 242 1
e 6 244 1
e 6 245 1
e 6 249 1
e 6 320 3
e 6 321 1
e 6 327 2
e 6 329 2
e 6 412 2
e 6 498 3
e 6 499 2
e 6 503 1
e 6 574 2
e 6 584 1
e 6 592 1
e 6 611 1
e 6 644 1
e 6 645 1
e 6 667 1
e 6 715 1
e 6 719 2
e 6 850 2
e 6 976 2
e 6 978 2
e 6 980 1
e 6 988 1
e 6 993 1
e 7 5 24
e 7 6 18
e 7 8 2
e 7 11 8
e 7 16 2
e 7 17 2
e 7 20 1
e 7 30 9
e 7 43 4
e 7 59 4
e 7 83 1
e 7 84 2
e 7 85 1
e 7 88 3
e 7 99 17
e 7 100 22
e 7 101 4
e 7 102 24
e 7 133 2
e 7 139 2
e 7 153 2
e 7 156 3
e 7 176 1
e 7 177 4
e 7 187 1
e 7 198 2
e 7 200 7
e 7 219 10
e 7 221 10
e 7 232 2
e 7 236 5
e 7 237 4
e 7 238 1
e 7 239 1
e 7 242 1
e 7 244 3
e 7 245 1
e 7 248 1
